run_id,baseline,bootstrap_B,bootstrap_seed,auc_point,auc_ci_low,auc_ci_high,top10_lift_point,top10_lift_ci_low,top10_lift_ci_high
my_run,full,1000,20260331,0.7244,0.5796,0.8469,1.3889,1.2295,1.6304
auto_full_500_20260331_120841,full,1000,20260331,0.7244,0.5796,0.8469,1.3889,1.2295,1.6304
auto_random_500_20260331_120841,random,1000,20260331,0.4709,0.3273,0.6237,1.0417,0.5625,1.4423
auto_naive_500_20260331_120841,naive,1000,20260331,0.5000,0.5000,0.5000,1.0417,0.5625,1.3889
